Flight Number,Assigned Gate,Arrival Time,Departure Time,Near Gate
3U8366,151,06-13 00:00,06-13 08:00,Yes
3U8670,115,06-13 00:00,06-13 08:15,Yes
3U8898,422,06-13 00:00,06-13 09:30,No
3U8908,167,06-13 00:00,06-13 06:25,Yes
3U8936,136,06-13 00:00,06-13 06:40,Yes
3U8996,166,06-13 00:00,06-13 08:30,Yes
CA4118,119,06-13 00:00,06-13 08:30,Yes
CA4204,147,06-13 00:00,06-13 07:00,Yes
CA4502,316,06-13 00:00,06-13 07:00,No
CA4522,301,06-13 00:00,06-13 09:05,No
CA4524,215,06-13 00:00,06-13 07:05,No
EU2220,177,06-13 00:00,06-13 06:40,Yes
EU2284,165,06-13 00:00,06-13 06:55,Yes
EU2758,142,06-13 00:00,06-13 07:50,Yes
MU6649,172,06-13 00:00,06-13 07:55,Yes
TV9812,126,06-13 00:00,06-13 10:00,Yes
TV9826,321,06-13 00:00,06-13 07:25,No
TV9832,174,06-13 00:00,06-13 10:00,Yes
TV9942,107,06-13 00:00,06-13 11:00,Yes
CA4334,112,06-13 01:00,06-13 08:00,Yes
CA4424,214,06-13 01:00,06-13 09:15,No
TV9858,116,06-13 01:00,06-13 06:25,Yes
CA4326,175,06-13 01:05,06-13 06:35,Yes
3U8708,134,06-13 01:15,06-13 09:00,Yes
MU6376,139,06-13 01:15,06-13 07:55,Yes
3U8360,154,06-13 01:20,06-13 07:30,Yes
CA4534,171,06-13 01:25,06-13 07:30,Yes
CA4210,167,06-13 01:40,06-13 09:50,Yes
CA4324,507,06-13 01:40,06-13 08:00,No
3U8718,401,06-13 01:50,06-13 07:15,No
CA4294,315,06-13 01:55,06-13 07:20,No
3U8775,606,06-13 08:30,06-13 16:20,No
3U8362,336,06-13 09:35,06-13 10:40,No
MU5841,150,06-13 09:35,06-13 10:50,Yes
3U8890,305,06-13 09:50,06-13 10:55,No
CA8261,146,06-13 09:50,06-13 10:55,Yes
CZ5861,309,06-13 09:50,06-13 10:55,No
GJ8067,364,06-13 09:50,06-13 10:55,No
CA4182,503,06-13 09:55,06-13 11:00,No
TV9957,170,06-13 09:55,06-13 11:35,Yes
CA4408,140,06-13 10:20,06-13 11:15,Yes
3U8900,608,06-13 10:25,06-13 11:30,No
CA1405,172,06-13 10:25,06-13 11:45,Yes
CA4526,607,06-13 10:25,06-13 12:35,No
TV9955,131,06-13 10:25,06-13 12:40,Yes
ZH9401,315,06-13 10:30,06-13 11:50,No
3U8710,123,06-13 10:35,06-13 11:40,Yes
CA9847,160,06-13 10:35,06-13 11:40,Yes
CA8971,227,06-13 10:40,06-13 11:55,No
MU5401,318,06-13 10:40,06-13 12:00,No
CA4208,205,06-13 10:50,06-13 11:55,No
CA8143,324,06-13 10:50,06-13 11:55,No
3U8650,201,06-13 10:55,06-13 13:30,No
CZ6161,134,06-13 10:55,06-13 12:30,Yes
MU6641,615,06-13 11:00,06-13 12:15,No
CA4394,214,06-13 11:10,06-13 12:15,No
EU1802,165,06-13 11:10,06-13 13:05,Yes
TV9946,320,06-13 11:10,06-13 12:45,No
3U8958,122,06-13 11:15,06-13 12:20,Yes
ZH9403,167,06-13 11:15,06-13 12:30,Yes
EU2242,124,06-13 11:20,06-13 12:30,Yes
CA4410,364,06-13 11:25,06-13 12:25,No
CA8557,104,06-13 11:25,06-13 12:40,Yes
MU5843,147,06-13 11:35,06-13 13:00,Yes
3U8628,217,06-13 11:40,06-14 09:40,No
3U8734,619,06-13 11:40,06-13 13:00,No
CA1741,313,06-13 11:40,06-13 16:25,No
TV9729,130,06-13 11:40,06-13 15:50,Yes
TV9881,112,06-13 11:40,06-13 12:55,Yes
CZ3437,421,06-13 11:45,06-13 13:00,No
3U8792,162,06-13 11:50,06-13 12:55,Yes
CA4184,232,06-13 11:50,06-13 13:30,No
3U8852,118,06-13 11:55,06-13 19:55,Yes
CA4050,136,06-13 11:55,06-13 13:05,Yes
CA1747,424,06-13 12:00,06-13 13:15,No
CZ8847,505,06-13 12:00,06-13 13:30,No
MU6643,153,06-13 12:10,06-13 13:15,Yes
MU5403,123,06-13 12:15,06-13 14:35,Yes
MU5405,159,06-13 12:15,06-13 13:30,Yes
CA1415,317,06-13 12:25,06-13 13:45,No
EU1814,423,06-13 12:35,06-13 13:40,No
3U8640,310,06-13 12:40,06-13 13:35,No
3U8702,357,06-13 12:40,06-13 14:20,No
3U8738,139,06-13 12:50,06-13 14:15,Yes
3U8934,150,06-13 12:50,06-13 14:15,Yes
CA4234,218,06-13 12:50,06-13 14:00,No
CA4186,348,06-13 12:55,06-13 14:55,No
TV9960,170,06-13 12:55,06-13 13:55,Yes
3U8766,601,06-13 13:05,06-13 15:00,No
3U8692,204,06-13 13:10,06-13 15:30,No
3U8968,120,06-13 13:10,06-13 15:15,Yes
3U8862,352,06-13 13:15,06-13 15:50,No
CA4400,202,06-13 13:15,06-13 14:30,No
EU2236,311,06-13 13:15,06-13 16:15,No
CA4398,214,06-13 13:25,06-13 17:30,No
3U8980,103,06-13 13:30,06-13 14:45,Yes
CA4402,422,06-13 13:40,06-13 15:00,No
CZ3443,342,06-13 13:40,06-13 15:00,No
CA4300,177,06-13 13:45,06-13 14:55,Yes
CA4512,401,06-13 13:50,06-13 17:00,No
CA4520,126,06-13 13:50,06-13 18:55,Yes
3U8694,137,06-13 13:55,06-13 16:15,Yes
TV9982,105,06-13 13:55,06-13 15:30,Yes
CA4120,404,06-13 14:00,06-13 16:00,No
3U8952,141,06-13 14:10,06-13 16:40,Yes
TV9824,227,06-13 14:10,06-13 15:25,No
EU2218,323,06-13 14:15,06-13 15:25,No
3U8630,101,06-13 14:25,06-13 15:30,Yes
3U8889,618,06-13 14:25,06-13 15:30,No
3U8990,151,06-13 14:25,06-13 15:35,Yes
3U8884,117,06-13 14:30,06-13 16:55,Yes
CA4046,612,06-13 14:30,06-13 16:00,No
CA4226,423,06-13 14:30,06-13 15:25,No
CA4306,502,06-13 14:30,06-13 15:35,No
CA4532,160,06-13 14:30,06-13 15:25,Yes
MU6645,201,06-13 14:35,06-13 16:00,No
ZH9405,159,06-13 14:35,06-13 16:00,Yes
CA4504,174,06-13 14:50,06-13 16:05,Yes
TV9892,175,06-13 14:50,06-13 16:15,Yes
3U8906,304,06-13 14:55,06-13 18:15,No
3U8962,407,06-13 14:55,06-13 17:35,No
CA4114,309,06-13 14:55,06-13 16:15,No
CZ6183,127,06-13 14:55,06-13 16:30,Yes
3U8912,162,06-13 15:00,06-13 17:35,Yes
3U8924,173,06-13 15:05,06-13 18:00,Yes
CZ3453,308,06-13 15:10,06-13 16:30,No
MU5411,338,06-13 15:15,06-13 17:00,No
CA4202,420,06-13 15:20,06-13 16:45,No
3U8468,103,06-13 15:25,06-13 16:35,Yes
CA4338,166,06-13 15:25,06-13 17:25,Yes
CA4414,122,06-13 15:25,06-13 18:30,Yes
3U8982,324,06-13 15:30,06-13 17:20,No
CZ3471,362,06-13 15:40,06-13 19:00,No
MU5409,230,06-13 15:40,06-13 17:30,No
CA4462,424,06-13 15:45,06-13 20:30,No
EU6666,614,06-13 15:45,06-13 17:05,No
CA4220,113,06-13 15:55,06-13 17:55,Yes
CA4228,115,06-13 15:55,06-13 17:00,Yes
EU1970,318,06-13 15:55,06-13 17:25,No
CA4102,315,06-13 16:00,06-13 21:30,No
CA8265,121,06-13 16:00,06-13 17:10,Yes
CZ6103,303,06-13 16:00,06-13 17:30,No
3U8668,142,06-13 16:05,06-13 17:55,Yes
CA4236,328,06-13 16:05,06-13 17:45,No
MU6172,314,06-13 16:05,06-13 17:15,No
3U8886,123,06-13 16:15,06-13 17:30,Yes
CA1745,207,06-13 16:15,06-13 17:30,No
3U8964,119,06-13 16:25,06-13 18:30,Yes
CA4508,177,06-13 16:25,06-13 18:00,Yes
3U8732,601,06-13 16:35,06-14 07:00,No
3U8572,112,06-13 16:40,06-13 18:30,Yes
CA4530,327,06-13 16:50,06-13 17:55,No
CA4218,157,06-13 17:05,06-13 18:30,Yes
MU5851,175,06-13 17:05,06-13 18:20,Yes
3U8472,106,06-13 17:15,06-13 18:20,Yes
CA4108,348,06-13 17:15,06-13 19:00,No
TV9882,364,06-13 17:15,06-14 06:00,No
ZH9407,155,06-13 17:15,06-13 20:30,Yes
3U8992,111,06-13 17:25,06-13 18:35,Yes
CA4392,168,06-13 17:25,06-13 18:30,Yes
CZ3417,108,06-13 17:35,06-13 21:00,Yes
EU2806,107,06-13 17:35,06-14 07:55,Yes
CA4116,326,06-13 17:50,06-13 18:55,No
3U8704,151,06-13 17:55,06-13 21:35,Yes
CA4448,219,06-13 17:55,06-13 21:05,No
CA4540,131,06-13 18:00,06-13 19:25,Yes
CZ3903,420,06-13 18:00,06-13 19:30,No
EU2774,238,06-13 18:00,06-13 19:05,No
TV9842,158,06-13 18:00,06-13 19:10,Yes
3U8842,144,06-13 18:10,06-13 19:15,Yes
CA2963,135,06-13 18:10,06-13 19:15,Yes
TV9904,152,06-13 18:15,06-14 10:00,Yes
GJ8091,231,06-13 18:20,06-13 20:00,No
MU5413,123,06-13 18:30,06-13 19:50,Yes
CA4318,160,06-13 18:35,06-13 19:55,Yes
MU5849,169,06-13 18:35,06-13 19:55,Yes
CZ5793,121,06-13 18:40,06-13 19:55,Yes
CA4240,302,06-13 18:45,06-13 19:40,No
CA1401,136,06-13 18:55,06-13 20:30,Yes
EU1860,164,06-13 18:55,06-13 20:05,Yes
MU9877,170,06-13 18:55,06-13 20:05,Yes
TV9958,619,06-13 19:00,06-14 11:35,No
3U8954,171,06-13 19:05,06-13 20:20,Yes
EU2756,106,06-13 19:05,06-14 06:40,Yes
CA4396,237,06-13 19:15,06-13 20:35,No
MU6647,229,06-13 19:15,06-13 20:20,No
CA4506,139,06-13 19:20,06-13 20:25,Yes
CA4418,150,06-13 19:25,06-13 20:30,Yes
CA8269,353,06-13 19:30,06-13 20:40,No
3U8942,612,06-13 19:35,06-13 20:40,No
CA1749,202,06-13 19:35,06-13 21:00,No
3U8932,210,06-13 19:40,06-13 21:30,No
CA1407,162,06-13 19:45,06-13 21:00,Yes
CA8561,338,06-13 19:45,06-13 21:00,No
3U8706,337,06-13 19:50,06-14 07:15,No
TV9866,104,06-13 19:50,06-14 10:00,Yes
TV9966,140,06-13 19:50,06-14 13:40,Yes
CA8521,506,06-13 19:55,06-13 21:25,No
CZ6135,322,06-13 20:00,06-13 21:30,No
CA1739,212,06-13 20:10,06-13 21:15,No
ZH9547,346,06-13 20:15,06-13 21:20,No
CA4404,102,06-13 20:25,06-14 06:45,Yes
CA8981,122,06-13 20:25,06-13 21:35,Yes
TV9930,120,06-13 20:25,06-14 07:00,Yes
3U8888,103,06-13 20:30,06-13 21:50,Yes
CZ3427,169,06-13 20:40,06-13 22:00,Yes
TV9876,115,06-13 20:40,06-14 08:55,Yes
CA1425,314,06-13 20:45,06-13 22:00,No
TV9886,123,06-13 20:45,06-14 06:40,Yes
TV9846,165,06-13 20:50,06-14 08:40,Yes
TV9730,146,06-13 20:55,06-14 09:00,Yes
TV9840,350,06-13 20:55,06-14 06:10,No
CA4406,354,06-13 21:05,06-14 09:15,No
MU5415,134,06-13 21:05,06-14 09:00,Yes
3U8696,357,06-13 21:10,06-14 08:20,No
3U8984,172,06-13 21:10,06-14 08:55,Yes
TV9956,420,06-13 21:10,06-14 06:30,No
ZH9409,164,06-13 21:10,06-13 22:30,Yes
CA4032,328,06-13 21:20,06-14 07:20,No
3U8994,504,06-13 21:30,06-14 08:05,No
CA4104,239,06-13 21:30,06-14 09:15,No
TV9954,168,06-13 21:30,06-14 09:15,Yes
3U8872,144,06-13 21:35,06-14 07:00,Yes
EU1836,326,06-13 21:40,06-14 06:25,No
3U8938,339,06-13 21:50,06-13 23:00,No
3U8698,503,06-13 21:55,06-14 07:30,No
CZ8849,135,06-13 21:55,06-14 08:30,Yes
TV9868,131,06-13 21:55,06-14 09:20,Yes
CA4516,313,06-13 22:00,06-14 08:00,No
EU2250,303,06-13 22:00,06-14 06:55,No
TV9923,212,06-13 22:00,06-14 10:10,No
TV9804,116,06-13 22:10,06-14 08:15,Yes
TV9922,119,06-13 22:10,06-14 10:00,Yes
EU2984,136,06-13 22:20,06-14 07:30,Yes
3U8896,111,06-13 22:25,06-14 06:55,Yes
3U8916,336,06-13 22:25,06-14 07:00,No
3U8966,214,06-13 22:25,06-14 06:40,No
3U8768,126,06-13 22:30,06-14 06:45,Yes
CA2969,361,06-13 22:30,06-14 09:15,No
3U8740,124,06-13 22:40,06-14 20:40,Yes
CA4598,108,06-13 22:40,06-14 09:00,Yes
CZ3413,365,06-13 22:40,06-14 09:00,No
MU5168,213,06-13 22:40,06-14 09:15,No
CA4282,109,06-13 22:50,06-14 08:15,Yes
EU2712,233,06-13 22:55,06-14 08:30,No
MU5417,143,06-13 22:55,06-14 07:55,Yes
3U8728,150,06-13 23:00,06-14 06:55,Yes
CA4230,610,06-13 23:00,06-14 07:20,No
CA4314,149,06-13 23:00,06-14 10:00,Yes
EU6668,306,06-13 23:00,06-14 09:55,No
3U8926,234,06-13 23:05,06-14 08:00,No
CA4528,118,06-13 23:15,06-14 08:15,Yes
EU2260,176,06-13 23:15,06-14 06:40,Yes
EU6662,231,06-13 23:15,06-14 08:05,No
TV9962,404,06-13 23:15,06-14 10:05,No
3U8864,173,06-13 23:20,06-14 08:00,Yes
CA4334,362,06-13 23:20,06-14 06:55,No
CA4044,170,06-13 23:30,06-14 09:50,Yes
CA4106,132,06-13 23:35,06-14 07:00,Yes
3U8574,314,06-13 23:40,06-14 09:30,No
3U8986,502,06-13 23:40,06-14 06:05,No
CA4212,110,06-13 23:40,06-14 10:55,Yes
CA4232,358,06-13 23:40,06-14 08:30,No
CA4510,101,06-13 23:40,06-14 07:30,Yes
CA4412,147,06-13 23:45,06-14 06:35,Yes
3U8670,302,06-13 23:55,06-14 06:40,No
3U8708,162,06-13 23:55,06-14 07:30,Yes
CA4502,155,06-13 23:55,06-14 07:15,Yes
MU5497,205,06-13 23:55,06-14 06:55,No
